事件編號,事件等級,事件標題,描述文字,選項,造成結果,授課成功度增減,教室氛圍度增減,教師威望,"事件等級為""緊急""專用 -> 事件校準失敗時的後果"
1,普通,睡覺...,台下學生睡成一片,輕聲提醒,少部分學生抬頭聽課,4,-2,2,
1,普通,睡覺...,台下學生睡成一片,憤怒拍桌,大部分學生嚇醒了,6,-8,8,
1,普通,睡覺...,台下學生睡成一片,更換授課模式,有半數學生聽得認真,4,8,4,
1,普通,睡覺...,台下學生睡成一片,立刻辭職,,,,,
2,特殊,比舞？,台下學生突然開始跳舞,喝斥！,學生嫌棄你打擾了班上和諧氣氛,,,,
2,特殊,比舞？,台下學生突然開始跳舞,「下課後來辦公室叫家長」,學生認為這是你無能的表現,-2,-2,4,
2,特殊,比舞？,台下學生突然開始跳舞,一鍵跟跳,學生和你關係更好了但課沒上完,,,,
3,特殊,餓啊...,台下學生在煮火鍋,向學生科普在教室用違規電器的危害,學生不耐煩的收起火鍋,4,2,2,
3,特殊,餓啊...,台下學生在煮火鍋,作勢要在火鍋裡洗個澡,學生乖乖收起火鍋,2,-2,6,
3,特殊,餓啊...,台下學生在煮火鍋,「給我來一份」,「真香 :)」,-6,10,-6,
4,特殊,music！,台下學生突然開始唱歌,「心一跳～」,「愛就開始煎熬~」,,,,
4,特殊,music！,台下學生突然開始唱歌,整個班就你最吵！,學生唱得更大聲了,-2,-4,2,
4,特殊,music！,台下學生突然開始唱歌,請他去輔導室,,,,,
5,特殊,look at my....,台下學生站在課桌上看著我不說話,站在講桌上不說話讓學生猜,被其他同學拍下來發@,-5,-1,-8,
5,特殊,look at my....,台下學生站在課桌上看著我不說話,假裝沒看到繼續上課,被家長投訴管理無方,,,,
5,特殊,look at my....,台下學生站在課桌上看著我不說話,「你憑甚麼高我一等」,,,,,
6,普通,時間就是...,粉筆用完了你已經請同學去拿這段空白時間要做什麼,發表人生理想與做人的道理,收穫昏昏欲睡的學生,-2,-4,-1,
6,普通,時間就是...,粉筆用完了你已經請同學去拿這段空白時間要做什麼,跳過需要板書的部分口頭講課,,,,,
6,普通,時間就是...,粉筆用完了你已經請同學去拿這段空白時間要做什麼,即興來段breaking,,,,,
6,普通,時間就是...,粉筆用完了你已經請同學去拿這段空白時間要做什麼,立刻辭職,,,,,
7,中等,我不會 > <,考試中突然有人崩潰大哭,跟著一起哭,,,,,
7,中等,我不會 > <,考試中突然有人崩潰大哭,請教官帶他到醫務室,,,,,
7,中等,我不會 > <,考試中突然有人崩潰大哭,請他不要影響其他還在考試的同學,,,,,
8,普通,我不會...,點名提問的學生不發一語,「你不說話我也不說」,,,,,
8,普通,我不會...,點名提問的學生不發一語,引導他說出答案,,,,,
8,普通,我不會...,點名提問的學生不發一語,改問其他同學,,,,,
9,中等,罵的好髒,分享個人經歷時被學生說上課不要提無關事物,解釋課程與個人經歷的聯繫,,,,,
9,中等,罵的好髒,分享個人經歷時被學生說上課不要提無關事物,「班上不能出現你這個無關的人🤡」,引起全班轟堂大笑,4,6,-10,
9,中等,罵的好髒,分享個人經歷時被學生說上課不要提無關事物,「對不起對不起我以後不講無關事務✋️😭✋️」,,,,,
10,緊急,想拉屎,你在上課時發現一股內部的力量直衝下三路,向學生通知自己要去上廁所,,,,,沒憋住.......
10,緊急,想拉屎,你在上課時發現一股內部的力量直衝下三路,憋著 從站著上課改為坐著,,,,,不太妙....
10,緊急,想拉屎,你在上課時發現一股內部的力量直衝下三路,拉在........,,,,,沒拉出來......
11,緊急,不對！,你講課時有學生反應你講錯了,向學生道謝並改正,,,,,
11,緊急,不對！,你講課時有學生反應你講錯了,向題目道謝並要求同學改正,,,,,
11,緊急,不對！,你講課時有學生反應你講錯了,向學生道謝回家躲在被窩裡窩囊的哭,,,,,
12,特殊,何移位,你專心的上課一回頭發現有學生連同桌椅移到門口了,何移位？,,,,,
12,特殊,何移位,你專心的上課一回頭發現有學生連同桌椅移到門口了,「去後面站著！！！」,,,,,
12,特殊,何移位,你專心的上課一回頭發現有學生連同桌椅移到門口了,站在他們移動到的門口繼續講課,,,,,
13,普通,真正的心寒...,你非常認真授課卻沒有學生理你,繼續講課,,,,,
13,普通,真正的心寒...,你非常認真授課卻沒有學生理你,提問課程中的知識,,,,,
13,普通,真正的心寒...,你非常認真授課卻沒有學生理你,小發雷霆,,,,,
14,普通,眼睛瞎在....,學生組隊玩手機,沒收手機並處分,,,,,
14,普通,眼睛瞎在....,學生組隊玩手機,沒收並玩他的手機,,,,,
14,普通,眼睛瞎在....,學生組隊玩手機,,,,,,
15,緊急,,學生嗆你是薪水小偷,,,,,,
15,緊急,,學生嗆你是薪水小偷,,,,,,
15,緊急,,學生嗆你是薪水小偷,,,,,,
16,特殊,,剛上課時你看到黑板上被人寫老師之墓,,,,,,
16,特殊,,剛上課時你看到黑板上被人寫老師之墓,,,,,,
16,特殊,,剛上課時你看到黑板上被人寫老師之墓,,,,,,
,,,學生在上課時偷跑出教室,,,,,,
