事件編號,事件等級,事件標題,描述文字,選項,造成結果,授課成功度增減,教室氛圍度增減,教師威望,"事件等級為""緊急""專用 -> 事件校準失敗時的後果"
1,普通,睡覺...,台下學生睡成一片,輕聲提醒,少部分學生抬頭聽課,-4,-2,2,
1,普通,睡覺...,台下學生睡成一片,憤怒拍桌,大部分學生嚇醒了,6,-4,10,
1,普通,睡覺...,台下學生睡成一片,更換授課模式,有半數學生聽得認真,4,8,4,
1,普通,睡覺...,台下學生睡成一片,立刻辭職,學生醒來才發現老師不見了,,,,
2,特殊,比舞？,台下學生突然開始跳舞,喝斥！,學生嫌棄你打擾了班上和諧氣氛,4,-3,6,
2,特殊,比舞？,台下學生突然開始跳舞,「下課後來辦公室叫家長」,學生認為這是你無能的表現,-2,-2,4,
2,特殊,比舞？,台下學生突然開始跳舞,一鍵跟跳,學生和你關係更好了但課沒上完,-6,4,6,
3,特殊,餓啊...,台下學生在煮火鍋,向學生科普在教室用違規電器的危害,學生不耐煩的收起火鍋,4,6,2,
3,特殊,餓啊...,台下學生在煮火鍋,作勢要在火鍋裡洗個澡,學生乖乖收起火鍋,2,-2,6,
3,特殊,餓啊...,台下學生在煮火鍋,「給我來一份」,「真香 :)」,-4,6,-6,
4,特殊,music！,台下學生突然開始唱歌,「心一跳～」,「愛就開始煎熬~」,-3,4,-4,
4,特殊,music！,台下學生突然開始唱歌,整個班就你最吵！,學生唱得更大聲了,-2,-4,2,
4,特殊,music！,台下學生突然開始唱歌,請他去輔導室,學生變成移動音響了,3,4,4,
5,特殊,look at my....,台下學生站在課桌上看著我不說話,站在講桌上不說話讓學生猜,被其他同學拍下來發@,-6,4,-8,
5,特殊,look at my....,台下學生站在課桌上看著我不說話,假裝沒看到繼續上課,被家長投訴管理無方,4,4,2,
5,特殊,look at my....,台下學生站在課桌上看著我不說話,「你憑甚麼高我一等」,「因為我是天子🤌」 學生如是說,-4,8,-2,
6,普通,時間就是...,粉筆用完了你已經請同學去拿這段空白時間要做什麼,發表人生理想與做人的道理,收穫昏昏欲睡的學生,-2,-4,3,
6,普通,時間就是...,粉筆用完了你已經請同學去拿這段空白時間要做什麼,跳過需要板書的部分口頭講課,有些知識對學生來說印象不夠深刻,2,2,2,
6,普通,時間就是...,粉筆用完了你已經請同學去拿這段空白時間要做什麼,即興來段breaking,｢有點意思」,-2,6,4,
